title,subtitle,author,reads,votes,comments,text
My Immortal with Commentary,Chapter 3.,VioletKingston,878,42,140,"AN: STOP FLAMMING DA STORY PREPZ OK! odderwize fangs 2 da goffik ppl 4 da good reveiws! FANGS AGEN RAVEN! oh yeah, BTW I don't own dis or da lyrics 4 Good Chralotte.The author got good reviews? Hopefully those goffs only gave her good reviews because they wanted to continue laughing because of this terrible fanfic... Otherwise, I think I don't have any faith left in humanity...XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXOn the night of the concert I put on my black lace-up boots with high heels. Underneath them were ripped red fishnets. Then I put on a black leather minidress with all this corset stuff on the back and front. I put on matching fishnet on my arms. I straightened my hair and made it look all spiky.Nobody cares about your terrible sense of fashion.I felt a little depressed then, so I slit one of my wrists.That is the worst depiction of depression I have EVER read. You're hearing this from someone who's mother is a psychologist and who spends all her days reading bad fanfics.I read a depressing book while I waited for it to stop bleeding and I listened to some GC. I painted my nails black and put on TONS of black eyeliner. Then I put on some black lipstick. I didn't put on foundation because I was pale anyway.Nobody cares about your damn makeup!I drank some human blood so I was ready to go to the concert.I went outside. Draco was waiting there in front of his flying car.It better be a Ford Anglia.He was wearing a Simple Plan t-shirt (they would play at the show too), baggy black skater pants, black nail polish and a little eyeliner (AN: A lot fo kewl boiz wer it ok!).These kids would be bullied to death on my school.""Hi Draco!"" I said in a depressed voice.Aren't depressed voices supposed to be soft? Why the exclamation point?""Hi Ebony."" he said back. We walked into his flying black Mercedes-Benz (the license plate said 666)Why. Just why. I can't.and flew to the place with the concert. On the way we listened excitedly to Good Charlotte and Marilyn Manson. We both smoked cigarettes and drugs.The author says this as if it were a normal thing to do for them. So if they smoke, where are the bad things that happen to smokers? Like coughing or puking. Or did they only start smoking, like, a week ago?When we got there, we both hopped out of the car. We went to the mosh pit at the front of the stage and jumped up and down as we listened to Good Charlotte.""You come in cold, you're covered in blood They're all so happy you've arrived The doctor cuts your cord, hands you to your mom She sets you free into this life."" sang Joel (I don't own da lyrics 2 dat song).I imagine all the broken hearts of the fans of Good Charlotte at this moment.""Joel is so fucking hot."" I said to Draco, pointing to him as he sung, filling the club with his amazing voice.So there's a club in Hogsmeade now? What book did I not read?Suddenly Draco looked sad.""What's wrong?"" I asked as we moshed to the music. Then I caught on.""Hey, it's ok I don't like him better than YOU!"" I said.Oh dear... They're going to be a couple, aren't they... Why?! Why must you ruin Draco for me?!""Really?"" asked Draco sensitively and he put his arm around me all protective.""Really."" I said. ""Besides I don't even know Joel and he's going out with Hilary fucking Duff. I fucking hate that little bitch."" I said disgustedly, thinking of her ugly blonde face.Can someone's face be blonde? Does one have a brown face because they have brown hair? Or a red face if they have red hair?The night went on really well, and I had a great time. So did Draco. After the concert, we drank some beer and asked Benji and Joel for their autographs and photos with them. We got GC concert tees. Draco and I crawled back into the Mercedes-Benz, but Draco didn't go back into Hogwarts, instead he drove the car into........................... the Forbidden Forest!  No! I sense a bad sex scene! And for how long did they know each other again?"
My Immortal Commentary,Chapters 1-5,jyushiimatsuno,17,0,2,"Chapter 1.AN: Special fangz (get it, coz Im goffik) No. 2 my gf (ew not in that way) raven, I spy with my little eye a homophobe. bloodytearz666 4 helpin me wif da story and spelling. U rok! Justin ur da luv of my deprzzing life u rok 2! MCR ROX!XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX Hate to break it to ya honey, but that's not how you separate chapters and ANs.Hi my name is Ebony Dark'ness Dementia Raven Way and I have long ebony black hair Redundancy much? (that's how I got my name) with purple streaks and red tips that reaches my mid-back and icy blue eyes like limpid tears and a lot of people tell me I look like Amy Lee (AN: if u don't know who she is get da hell out of here!). I'm not related to Gerard Way but I wish I was because he's a major fucking hottie. I don't even know where to begin on that last sentence. I'm a vampire but my teeth are straight and white. Stop fucking lyin'.. I have pale white skin. I'm also a witch, and I go to a magic school called Hogwarts in England HOGWARTS IS IN SCOTLAND where I'm in the seventh year (I'm seventeen). I'm a goth (in case you couldn't tell) and I wear mostly black. Wow, really? I love Hot Topic and I buy all my clothes from there. For example today I was wearing a black corset with matching lace around it and a black leather miniskirt, pink fishnets and black combat boots. I was wearing Nobody gives a shit. black lipstick, white foundation, black eyeliner and red eye shadow. I was walking outside Hogwarts. It was snowing and raining Hailing or sleeting, basically. Get your ass back inside. so there was no sun, which I was very happy about. A lot of preps stared at me. I put up my middle finger at them.""Hey Ebony!"" shouted a voice. I looked up. It was.... Draco Malfoy! Why the elipse?""What's up Draco?"" I asked.""Nothing."" he said shyly.But then, I heard my friends call me and I had to go away.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX No.AN: IS it good? PLZ tell me fangz! This fic is one of those things that's so shitty that it's good.Chapter 2.AN: Fangz 2 bloodytearz666 4 helpin me wif da chapta! BTW preps stop flaming ma story ok!XXXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXXXXXXXThe next day I woke up in my bedroom. It was snowing and raining again. I opened the door of my coffin and drank some blood from a bottle I had. My coffin was black ebony and inside it was hot pink velvet Later in the story though, Enoby claims she hates pink. with black lace on the ends. I got out of my coffin and took of my giant MCR t-shirt which I used for pajamas. Instead, I put on a black leather dress, a pentagram necklace, combat boots and black fishnets on. I put on four pairs of earrings in my pierced ears, and put my hair in a kind of messy bun. In a kind of messy bun.My friend, Willow (AN: Raven dis is u!) woke up then and grinned at me. She flipped her long waist-length raven black hair with pink streaks and opened her forest-green eyes. She put on her Marilyn Manson t-shirt with a black mini, fishnets and pointy high-heeled boots. We put on our makeup (black lipstick white foundation and black eyeliner.) Please stop describing clothes so damn much.""OMFG, I saw you talking to Draco Malfoy yesterday!"" she said excitedly.""Yeah? So?"" I said, blushing.""Do you like Draco?"" she asked as we went out of the Slytherin common room and into the Great Hall.""No I so fucking don't!"" I shouted. Which means you do. Come one Enoby, we read enough fics to know."
Everything Wrong With My Immortal,Chapter 7. Wake Me Up,FFSins,26,2,1,"Chapter 7. Bring me 2 life (That's an Evanescence song. As we've established before, Amy  Lee is Queen. Bring Me To Life is an amazing song. You will not desecrate her and her band's name by inserting songs as titles in your STUPID fanfic, am I understood? Also, why do all the other chapters not have titles but this one does?)AN: wel ok u guyz im only writting dis cuz I got 5 god reviuws. (Really?) n BTW I wont rite da nxt chapter til I git TIN god vons! (Honestly, I'm surprised you even got 5) STO FLAMING OR ILL REPORT U! (I doubt you could report every flamer) Evony (Oh, so it's Evony now?) isn't a Marie Sue ok she isn't perfect SHES A SATANITS! (There are different types of Mary Sues you know.) n she has problemz shes depressed 4 godz sake! (Really? Why would she be depressed? She has everything going for her)XXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXZXXXXXXXXXXXXXDraco and I held our pale white hands with black nail polish (I don't know where to begin) as we went upstairs. I was wearing red Satanist sings on my nails in red nail polish (But didn't you just say your nail polish is black?) (AN: c doez dat sound lik a Maru Sue 2 u? (Yes.)). I waved to Vampire. Dark misery was in his depressed eyes. (You can't say that. It's obvious he's depressed. As is every other character in this story.) I guess he was jealous of me that I was going out with Draco. Anyway, I went upstairs excitedly with Draco. We went into his room and locked the door. (Oh no...) Then............ (Oh my god. THREE!!!!!)We started frenching passively (I don't think that's possible) and we took off each others clothes enthusiastically. (You kiss passively and take off clothes enthusiastically. Ok?)  He felt me up before I took of my top. Then I took off my black leather bra (OUCH!) and he took off his pants. We went on the bed and started making out naked and then he put his boy's thingy in mine and we HAD SEX. (c is dat stupid?) (Yes. Very much so.)""Oh Draco, Draco!"" I screamed while getting an orgasm when all of a sudden I saw a tattoo I had never seen before on Draco's arm. (Didn't you already have sex?) It was a black heart with an arrow through it. On it in bloody gothic writing were the words............ (Oh for god's sake.) Vampire! (Two things. One, I appreciate you putting in some Drarry but really? Also, how do you know that's about Harry? It could be about you, since, as you've stated, you too are a vampire.)I was so angry.""You bastard!"" I shouted angrily, jumping out of the bed. (See above sin)""No! No! But you don't understand!"" Draco pleaded. But I knew too much.""No, you fucking idiot!"" I shouted. ""You probably have AIDs (AIDS you idiot) anyway!""I put on my clothes all huffily(You sound like a two year old) and then stomped out. Draco ran out even though he was naked. (He couldn't have pulled on at least some pants?) He had a really big you-know-what but I was too mad to care. (So why'd you mention it?) I stomped out (You already said that.) and did so until I was in Vampire's classroom where he was having a lesson with Professor Snape (How'd you know?) and some other people.(And those other people matter just enough to get mentioned but not enough to be name checked?)""VAMPIRE POTTER, YOU MOTHERFUCKER!"" I yelled. (Way to make a scene)Sin tally: 144No fanfic is without sin"
"My immortal, the commentary",Chapter 6,Monkee66,22,1,0,"Hello sweeties. How are you all doing? Here's a few more chapters for you to laugh at. Enjoy.  Chapter 6.AN: shjt up prepz ok! PS I wnot update ubtil u give me goood revows!XXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXThe  next day I woke up in my coffin. This is not impotent to the story, we get that you sleep in a coffin I put on a black miniskirt that was  all ripped around the end and a matching top with red skulls all over it so the top is ripped or the mini has skulls over it, ether way...  and high heeled boots that were black. You could just say black high heeled boots I put on two pairs of skull  earrings, and two crosses in my ears. You would have burned if you put crosses in your ear if you're a vampire  I spray-painted my hair with  purple. Spray-painted your hair? Who spray-paints their hair? In the Great Hall, I ate some Count Chocula cereal with  blood instead of milk, Because that's the cool thing, eating cereal with blood not milk. Chocolate and blood sound like a bad combination. I've tried corn flakes with orange juice....don't do it. and a glass of red blood. Suddenly someone bumped  into me. All the blood spilled over my top.""Bastard!"" I shouted  angrily. Deep breath girl did you wake up on the wrong side of your coffin?  I regretted saying it when I looked up cause I was looking  into the pale white face of a gothic boy with spiky black hair with red  streaks in it. Okay the hair style sounds cool He was wearing so much eyeliner that I was going down his  face and he was wearing black lipstick. But the rest of the description sounds horrid   He didn't have glasses anymore  and now he was wearing red contact lenses just like Draco's and there  was no scar on his forhead anymore. He had a manly stubble on his chin.  He had a sexy English accent. How do you know? He hasn't spoken yet. Unless you're generalizing, but he could be Irish and speak with an hot Irish accent. Just saying.  He looked exactly like Joel Madden. He was  so sexy that my body went all hot when I saw him kind of like an  erection only I'm a girl so I didn't get one you sicko. No comment. ""I'm so sorry."" he said in a shy voice. NOW you can comment on his accent. And if it's a shy voice, say he whispered or something. ""That's all right. What's your name?"" I questioned.""My name's Harry Potter, although most people call me Vampire these days."" he grumbled. Poor guy, I'd be grumbling to if I got that nickname. ""Why?"" I exclaimed. This little mark here ! means you exclaimed something, a ? means you questioned it. If your doing both you say something like this 'Why?!' I exclaimed.'    ""Because I love the taste of human blood."" he giggled. Harry, sorry Vampire, is messed up...why is he giggling because he likes the taste of human blood? Back away slowly and don't make eye contact.  ""Well, I am a vampire."" I confessed. Not something I'd be saying as an interdiction. ""Really?"" he whimpered. Yeah, I'd be scared to. Female vampires seduce men, but I don't think you have anything to worry about Harry, Ebnoby is a wannabe. ""Yeah."" I roared. You need a exclamation point at the end of 'yeah' so people know to yell it out. We sat down to talk for a while. What did you talk about? Then Draco came up behind me and told me he had a surprise for me so I went away with him. With out saying good by...rude. So there is chapter six. Anyone need brain bleach yet? Please leave a review if you liked it. "
My Immortal with Commentary,Chapter 4.,VioletKingston,729,40,101,"AN: I sed stup flaming ok ebony's name is ENOBY nut mary su OK! DRACO IS SOO IN LUV wif her dat he is acting defrent! dey nu eechodder b4 ok!You read that, people? Her name is ENOBY nut mary su OK!And I doubt Draco would act THAT different for a girl.And my question in the last chapter is answered!XXXXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXXX""DRACO!"" I shouted. ""What the fuck do you think you are doing?""Please Draco, don't say sex!Draco didn't answer but he stopped the flying car and he walked out of it. I walked out of it too, curiously.""What the fucking hell?"" I asked angrily.""Ebony?"" he asked.Wait, is it Enoby or Ebony?""What?"" I snapped.Draco leaned in extra-close and I looked into his gothic red eyes (he was wearing color contacts) which revealed so much depressing sorrow and evilness and then suddenly I didn't feel mad anymore.Why is Draco depressed all of a sudden?And then............... suddenly just as I Draco kissed me passionately.No, there's no passion between these two. They aren't even dating!Draco climbed on top of me and we started to make out keenly against a tree. He took of my top and I took of his clothes. I even took of my bra. Then he put his thingie into my you-know-what and we did it for the first time.Oh please! Stop it!""Oh! Oh! Oh! "" I screamed. I was beginning to get an orgasm. We started to kiss everywhere and my pale body became all warm. And then....Somebody, stop this terrible sex scene!""WHAT THE HELL ARE YOU DOING YOU MOTHERFUKERS!""It was.............................................................Dumbledore!  And we're saved by an OOC Dumbledore!"
Everything Wrong With My Immortal,Chapter 1,FFSins,68,5,3,"Chapter 1.(yay)AN: Special fangz (get it, coz Im goffik) (yes Tara, I do get it. Doesn't mean it's good) 2 my gf (ew not in that way (cough cough homophobe) raven, bloodytearz666 4 helpin me wif da story (oh did she?) and spelling(you certainly need it. If it's gonna be like this for the entire book....) U rok! Justin ur da luv of my deprzzing life u rok 2 (2 mentions for the love of her life!) MCR ROX! (I agree, but what does that have to do with anything?)Hi my name is Ebony Dark'ness Dementia Raven Way (What the hell kind of name is that?!) and I have long ebony black hair (that's how I got my name)(Sure, that's how everyone gets their names. My name would be Scarlett if that's the case) with purple streaks and red tips (Honestly, that would look horrible.) that reaches my mid-back and icy blue eyes like limpid tears (TF are limpid tears?) and a lot of people tell me I look like Amy Lee (No. Amy Lee is Queen. You will not disrespect her by comparing yourself to her, ok?) (AN: if u don't know who she is get da hell out of here!(Guess I have to stay. Damn).). I'm not related to Gerard Way but I wish I was because he's a major fucking hottie (Incest.) I'm a vampire but my teeth are straight and white. I have pale white skin (...Obviously.) I'm also a witch, and I go to a magic school called Hogwarts in England (You mean Scotland?)  where I'm in the seventh year (I'm seventeen). I'm a goth (in case you couldn't tell) and I wear mostly black. I love Hot Topic and I buy all my clothes from there (Goth in a box.) For example today I was wearing a black corset with matching lace around it and a black leather miniskirt, pink fishnets and black combat boots. I was wearing black lipstick, white foundation, black eyeliner and red eye shadow. (Get ready for more clothing descriptions.) I was walking outside Hogwarts. It was snowing and raining (sleet? Also how does that work?) so there was no sun, which I was very happy about. A lot of preps (What are preps?) stared at me. I put up my middle finger at them. (How you greet everyone apparently.) ""Hey Ebony!"" shouted a voice. I looked up. It was.... Draco Malfoy!""What's up Draco?"" I asked.""Nothing."" he said shyly. (OOOH someone has a crush! Also, why'd you call her over when you were literally going to say all of three words to her.)But then, I heard my friends call me and I had to go away (Best ending to anything, ever. *sarcasm*)AN: IS it good? PLZ tell me fangz! (Horrible.)Hey all.Decided to try a new idea. FanficSins. A ripoff of CinemaSins and if they ask me to take it down, I will. I don't own this, thank god.Have any suggestions for fanfics? Comment or message.Thanks!Sin Tally So Far: 24No fanfic is without sin."
My Immortal Commentary (Bit late I know),Chapters 5-6 (Please send help. I'm begging you),FrankieEllor7,11,1,0,"I know you're all dying to read the next chapters. You're welcome.Chapter 5.AN: STOP flaming! if u flam it menz ur a prep or a posr! Da only reson Dumbledeor swor is coz he had a hedache ok an on tup of dat he wuz mad at dem 4 having sexx! PS im nut updating umtil I get five good revoiws!Dumbledore has no chillDumbledore made and Draco and I follow him. He kept shouting at us angrily.I can understand why he's pissed about you having sex on his grounds. Damn it Enoby that man has accepted you, a fuckin vampire, into his school and allows you to drink blood. So you repay him by getting it on on the fucking grounds. Nahhh you silly shit.""You ludacris fools!"" he shouted.A ludacris fool wrote thisI started to cry tears of blood down my pallid face. Draco comforted me. When we went back to the castle Dumbledore took us to Professor Snape and Professor McGonagall who were both looking very angry.Tears of blood...-_-""They were having sexual intercourse in the Forbidden Forest!"" he yelled in a furious voice.""Why did you do such a thing, you mediocre dunces?"" asked Professor McGonagall.""How dare you?"" demanded Professor Snape.And then Draco shrieked. ""BECAUSE I LOVE HER!""Best excuse ever... YOU'VE BEEN ON ONE DATEEveryone was quiet. Dumbledore and Professor McGonagall still looked mad but Professor Snape said. ""Fine. Very well. You may go up to your rooms.""Apparently ""because I love her""is a valid excuseDraco and I went upstairs while the teachers glared at us.""Are you okay, Ebony?"" Draco asked me gently.""Yeah I guess."" I lied. I went to the girl's dorm and brushed my teeth and my hair and changed into a low-cut black floor-length dress with red lace all around it and black high heels. When I came out....Voldemort was there and killed meDraco was standing in front of the bathroom, and he started to sing 'I just wanna live' by Good Charlotte. I was so flattered, even though he wasn't supposed to be there. We hugged and kissed. After that, we said goodnight and he reluctantly went back into his room.That was almost a decent paragraphChapter 6.AN: shjt up prepz ok! PS I wnot update ubtil u give me goood revows!She needs some good revows! Some one needs to have a dope vow renewal ceremonyThe next day I woke up in my coffin. I put on a black miniskirt that was all ripped around the end and a matching top with red skulls all over it and high heeled boots that were black. I put on two pairs of skull earrings, and two crosses in my ears. I spray-painted my hair with purple.Spray painted?In the Great Hall, I ate some Count Chocula cereal with blood instead of milk, and a glass of red blood. Suddenly someone bumped into me. All the blood spilled over my top.Count Chocula is an American muggle cereal""Bastard!"" I shouted angrily. I regretted saying it when I looked up cause I was looking into the pale white face of a gothic boy with spiky black hair with red streaks in it. He was wearing so much eyeliner that I was going down his face and he was wearing black lipstick. He didn't have glasses anymore and now he was wearing red contact lenses just like Draco's and there was no scar on his forhead anymore. He had a manly stubble on his chin. He had a sexy English accent. He looked exactly like Joel Madden. He was so sexy that my body went all hot when I saw him kind of like an erection only I'm a girl so I didn't get one you sicko.Love that you had confirm that you were female so you couldn't get a boner""I'm so sorry."" he said in a shy voice.""That's all right. What's your name?"" I questioned.No it's not! You just called him a bastard""My name's Harry Potter, although most people call me Vampire these days."" he grumbled.No God please no""Why?"" I exclaimed.""Because I love the taste of human blood."" he giggled.Fuck sake""Well, I am a vampire."" I confessed.""Really?"" he whimpered.""Yeah."" I roared.Enoby is Aslan confirmedWe sat down to talk for a while. Then Draco came up behind me and told me he had a surprise for me so I went away with him.Oh dear lord"
Everything Wrong With My Immortal,Chapter 3,FFSins,37,2,4,"Chapter 3.AN: STOP FLAMMING DA STORY PREPZ OK! (No thx) odderwize fangs 2 da goffik ppl 4 da good reveiws! (So if you gave her good reviews, your ""goffick""?)FANGS AGEN RAVEN! oh yeah, BTW I don't own dis or da lyrics 4 Good Chralotte.(and you can't even spell your second favorite band's name right)XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXOn the night of the concert I put on my black lace-up boots with high heels. (NOOOOOO!!!)Underneath them were ripped red fishnets. Then I put on a black leather minidress with all this corset stuff on the back and front. (Honestly, this is horrible.) put on matching fishnet on my arms. (Shut up!) I straightened my hair and made it look all spiky. I felt a little depressed then, so I slit one of my wrists. (Wow. You slit your wrists everytime you feel depressed? Also, why are you depressed? You're going to a concert!)  I read a depressing book (I would say Les Mis but since Tara is acting like she hasn't read the HP books, I doubt she's read Les Mis.) while I waited for it to stop bleeding (So you bled on your book?) and I listened to some GC. I painted my nails black and put on TONS of black eyeliner. (Did you hear that guys? TONS! Not a little. Not a lot. TONS! God, she sounds like Trump.) Then I put on some black lipstick. I didn't put on foundation because I was pale anyway. (That didn't stop you earlier) I drank some human blood so I was ready to go to the concert. (Ok...)I went outside. Draco was waiting there in front of his flying car.(Draco does not have a flying car.) He was wearing a Simple Plan t-shirt (they would play at the show too), baggy black skater pants, black nail polish and a little eyeliner (AN: A lot fo kewl boiz wer it ok! (Not at my school)).""Hi Draco!"" I said in a depressed voice. (Aren't you excited about the concert?)""Hi Ebony."" he said back. We walked into his flying black Mercedes-Benz (the license plate said 666 (Is that a legal license plate number?)) and flew to the place with the concert. (How do you carry a concert in a car?) On the way we listened excitedly to Good Charlotte and Marilyn Manson. We both smoked cigarettes and drugs. (Just say no, kids. Ebony is a bad role model.) When we got there, we both hopped out of the car. We went to the mosh pit at the front of the stage and jumped up and down as we listened to Good Charlotte.""You come in cold, you're covered in bloodThey're all so happy you've arrivedThe doctor cuts your cord, hands you to your mom)She sets you free into this life."" sang Joel (I don't own da lyrics 2 dat song).(Thank God.)""Joel is so fucking hot."" (Sweetie, you don't say that to your date.) I said to Draco, pointing to him as he sung, filling the club with his amazing voice.Suddenly Draco looked sad. (Don't be so sensitive.)""What's wrong?"" I asked as we moshed to the music. Then I caught on.""Hey, it's ok I don't like him better than YOU!"" I said. (Sure.)""Really?"" asked Draco sensitively and he put his arm around me all protective.""Really."" I said. ""Besides I don't even know Joel and he's going out with Hilary fucking Duff. I fucking hate that little bitch."" I said disgustedly, thinking of her ugly blonde face. (I have no clue who she is. Does that make me a prep?)The night went on really well, and I had a great time. So did Draco. After the concert, we drank some beer and asked Benji and Joel for their autographs and photos with them. We got GC concert tees. (That cost 40 buck each probably. Arcade Fire t shirts cost about $35 each and they aren't even super popular) Draco and I crawled back into the Mercedes-Benz, but Draco didn't go back into Hogwarts, instead he drove the car into...........................(You really only need an ellipses which is 3 dots) the Forbidden Forest! (What a fricken cliffhanger.)Hey, I'm back.Horrible fanfic.I think after MI, I'm gonna tackle Hogwarts School of Miracles and Prayer.And than, maybe after that, I'll tackle Starkit's Prophecy. That one's a horrible Warriors fanfic.But if you have any more after, message or comment.FFSinsSin Tally for MI so far: 66No fanfic is without sin"
My Immortal with Commentary,Chapter 6.,VioletKingston,629,37,67,"AN: shjt up prepz ok! PS I wnot update ubtil u give me goood revows!Well, let's see what ENOBY nut mary su OK is up to today!XXXXXXXXXXXXXXXX666XXXXXXXXXXXXXXXXXXThe next day I woke up in my coffin. I put on a black miniskirt that was all ripped around the end and a matching top with red skulls all over it and high heeled boots that were black. I put on two pairs of skull earrings, and two crosses in my ears. I spray-painted my hair with purple.Because regular hair dye is overrated.In the Great Hall, I ate some Count Chocula cereal with blood instead of milk, and a glass of red blood. Suddenly someone bumped into me. All the blood spilled over my top.Oh no, now we'll have to read another paragraph about her changing her clothes!""Bastard!"" I shouted angrily. I regretted saying it when I looked up cause I was looking into the pale white face of a gothic boy with spiky black hair with red streaks in it. He was wearing so much eyeliner that I was going down his face and he was wearing black lipstick. He didn't have glasses anymore and now he was wearing red contact lenses just like Draco's and there was no scar on his forhead anymore. He had a manly stubble on his chin. He had a sexy English accent.He has an English accent because he's from England. So do all the other English boys.He looked exactly like Joel Madden. He was so sexy that my body went all hot when I saw him kind of like an erection only I'm a girl so I didn't get one you sicko.Exactly zero people wanted to read that last sentence.""I'm so sorry."" he said in a shy voice.""That's all right. What's your name?"" I questioned.""My name's Harry Potter, although most people call me Vampire these days."" he grumbled.Now she's ruining the main character. That's just great.""Why?"" I exclaimed.So did I, every sentence of this abomination.""Because I love the taste of human blood."" he giggled.Because that's so funny.""Well, I am a vampire."" I confessed.""Really?"" he whimpered.""Yeah."" I roared.Enoby gets upset if you don't believe her.We sat down to talk for a while. Then Draco came up behind me and told me he had a surprise for me so I went away with him.SURPRISE! I killed every other person in this school so our author can't ruin them!Also she's not changing now that she really needs to."
My Immortal with Commentary,Chapter 8.,VioletKingston,616,39,68,"AN: stop flassing ok! if u do den u r a prep!Yay! We're all preps! Still better than being associated with people like Ebony.XXXXXXXXXXXXXXXXXXXXXXXXXXX666XXXXXXXXXXXEveryone in the class stared at meI just realized that if these people are all in class, Draco and Mary Sue are supposed to be, too! Detention, or no, black quill!and then Draco came into the room even though he was naked and started begging me to take him back.""Ebony, it's not what you think!"" Draco screamed sadly.My friend B'loody Mary Smith smiled at me understatedly.Another name with an inexplicable apostrophe.She flipped her long waste-length gothic black hair and opened her crimson eyes like blood that she was wearing contact lenses on. She had pale white skin that she was wearing white makeup on. Hermione was kidnapped when she was born. Her real parents are vampires and one of them is a witch but Voldemort killed her mother and her father committed suicide because he was depressed about it. She still has nightmares about it and she is very haunted and depressed. It also turns out her real last name is Smith and not Granger. (Since she has converted to Satanism she is in Slytherin now not Griffindoor. )And now she ruined Hermione by giving her a shitty backstory and removing all of her personality.""What is it that you desire, you ridiculous dimwit!"" Snape demeaned angrily in his cold voice but I ignored him.That's my new favorite insult: ridiculous dimwit.""Vampire, I can't believe you cheated on me with Draco!"" I shouted at him.Everyone gasped.Because Draco cheated on Ebony or because he's naked?I don't know why Ebony was so mad at me. I had went out with Vampire (I'm bi and so is Ebony) for a while but then he broke my heart. He dumped me because he liked Britney, a stupid preppy fucker. We were just good friends now. He had gone through horrible problems, and now he was gothic. (Haha, like I would hang out with a prep.)Go Britney! Also, why the POV change all of a sudden?""But I'm not going out with Draco anymore!"" said Vampire.""Yeah fucking right! Fuck off, you bastard!"" I screamed. I ran out of the room and into the Forbidden Forest where I had lost my virility to Draco and then I started to bust into tears.  Virility! That has to be one of the funniest typos yet!"
